,Source,Production,dayOfYear,dayName,monthName,Total_time
7781,Solar,1655.0,290,Friday,October,1
7782,Solar,0.0,13,Wednesday,January,1
7784,Solar,0.0,194,Sunday,July,1
7785,Solar,1.0,175,Tuesday,June,1
7786,Solar,1215.0,290,Friday,October,1
7787,Solar,0.0,13,Wednesday,January,1
7789,Solar,0.0,195,Monday,July,1
7790,Solar,45.0,176,Wednesday,June,1
7791,Solar,171.0,290,Friday,October,1
7792,Solar,35.0,13,Wednesday,January,1
7794,Solar,22.0,195,Monday,July,1
7795,Solar,1837.0,176,Wednesday,June,1
7796,Solar,0.0,291,Saturday,October,1
7797,Solar,0.0,13,Wednesday,January,1
7799,Solar,3717.0,195,Monday,July,1
7800,Solar,312.0,176,Wednesday,June,1
7801,Solar,0.0,291,Saturday,October,1
7802,Solar,0.0,13,Wednesday,January,1
7804,Solar,1006.0,195,Monday,July,1
7805,Solar,43.0,176,Wednesday,June,1
7806,Solar,835.0,291,Saturday,October,1
7807,Solar,0.0,14,Thursday,January,1
7809,Solar,0.0,196,Tuesday,July,1
7810,Solar,0.0,177,Thursday,June,1
7811,Solar,2909.0,291,Saturday,October,1
7812,Solar,0.0,14,Thursday,January,1
7814,Solar,1696.0,196,Tuesday,July,1
7815,Solar,3280.0,177,Thursday,June,1
7816,Solar,1953.0,291,Saturday,October,1
7817,Solar,0.0,14,Thursday,January,1
7819,Solar,3232.0,196,Tuesday,July,1
7820,Solar,3691.0,177,Thursday,June,1
7821,Solar,0.0,291,Saturday,October,1
7822,Solar,0.0,15,Friday,January,1
7824,Solar,3003.0,196,Tuesday,July,1
7825,Solar,3477.0,177,Thursday,June,1
7826,Solar,0.0,292,Sunday,October,1
7827,Solar,358.0,15,Friday,January,1
7829,Solar,278.0,196,Tuesday,July,1
7830,Solar,2466.0,177,Thursday,June,1
7831,Solar,0.0,292,Sunday,October,1
7832,Solar,1477.0,15,Friday,January,1
7834,Solar,0.0,196,Tuesday,July,1
7835,Solar,739.0,177,Thursday,June,1
7836,Solar,0.0,292,Sunday,October,1
7837,Solar,1272.0,15,Friday,January,1
7839,Solar,13.0,197,Wednesday,July,1
7840,Solar,0.0,178,Friday,June,1
7841,Solar,3434.0,292,Sunday,October,1
7842,Solar,386.0,15,Friday,January,1
7844,Solar,172.0,197,Wednesday,July,1
7845,Solar,278.0,178,Friday,June,1
7846,Solar,3318.0,292,Sunday,October,1
7847,Solar,0.0,16,Saturday,January,1
7849,Solar,546.0,197,Wednesday,July,1
7850,Solar,2632.0,178,Friday,June,1
7851,Solar,0.0,292,Sunday,October,1
7852,Solar,0.0,16,Saturday,January,1
7853,Solar,256.0,183,Wednesday,July,1
7854,Solar,180.0,197,Wednesday,July,1
7855,Solar,1.0,178,Friday,June,1
7856,Solar,0.0,293,Monday,October,1
7857,Solar,0.0,16,Saturday,January,1
7858,Solar,2258.0,183,Wednesday,July,1
7859,Solar,0.0,197,Wednesday,July,1
7860,Solar,3123.0,179,Saturday,June,1
7861,Solar,0.0,293,Monday,October,1
7862,Solar,841.0,16,Saturday,January,1
7863,Solar,1.0,183,Wednesday,July,1
7864,Solar,0.0,198,Thursday,July,1
7865,Solar,3208.0,179,Saturday,June,1
7866,Solar,2789.0,293,Monday,October,1
7867,Solar,42.0,16,Saturday,January,1
7868,Solar,0.0,184,Thursday,July,1
7869,Solar,0.0,198,Thursday,July,1
7870,Solar,3113.0,179,Saturday,June,1
7871,Solar,0.0,293,Monday,October,1
7872,Solar,0.0,17,Sunday,January,1
7873,Solar,236.0,184,Thursday,July,1
7874,Solar,0.0,198,Thursday,July,1
7875,Solar,1256.0,180,Sunday,June,1
7876,Solar,0.0,294,Tuesday,October,1
7877,Solar,0.0,17,Sunday,January,1
7878,Solar,1203.0,184,Thursday,July,1
